text,v,a,d
グワッ。（返事）,0.10,0.10,0.00
クワッ。（相槌）,0.00,0.10,0.00
グァ。（うなずく）,-0.10,0.00,0.10
クワ…。（考える）,-0.10,0.20,-0.10
グワッ、グワッ。（歩く音）,0.00,0.30,0.00
クンクン。（匂いを嗅ぐ）,0.10,0.20,0.00
パタパタ。（羽ばたき）,0.00,0.30,0.10
トコトコ。（歩く）,0.10,0.20,0.00
ジーッ。（見つめる）,-0.10,0.10,0.20
フワッ。（浮かぶ）,0.20,-0.10,0.00
カチャ。（何かの音）,0.00,0.10,0.00
スー…。（息を吸う）,-0.10,0.10,-0.10
コツコツ。（何かを叩く音）,0.00,0.20,0.10
ピチャピチャ。（水音）,0.10,0.20,0.00
サラサラ。（葉っぱの音）,-0.10,0.10,0.00
ポツポツ。（雨音）,-0.10,0.10,-0.10
ヒュー…。（風の音）,-0.10,0.20,-0.10
コトッ。（物を置く音）,0.00,0.10,0.00
クルッ。（向きを変える）,0.10,0.20,0.00
スッ…。（立ち上がる）,0.00,0.20,0.10
パクッ。（食べる音）,0.10,0.20,0.00
モグモグ。（咀嚼する）,0.00,0.10,-0.10
チラッ。（横目で見る）,-0.10,0.20,0.10
スタッ。（着地する）,0.10,0.30,0.10
グッ…。（伸びをする）,0.00,-0.20,0.00
カサカサ。（葉が擦れる音）,-0.10,0.10,0.00
トントン。（ドアをノックする音）,0.00,0.20,0.10
パラパラ。（ページをめくる音）,0.00,0.10,0.00
ゴソゴソ。（何かを探す音）,0.00,0.20,-0.10
キョロキョロ。（周りを見回す）,-0.10,0.30,-0.10
スルスル。（滑るように動く）,0.10,0.20,0.00
ポチャン。（水に何かが落ちる音）,0.00,0.10,-0.10
クイッ。（首を傾げる）,0.10,0.10,0.00
フム。（納得する）,0.00,0.00,0.10
ボーッ。（何も考えずにいる）,-0.20,-0.30,-0.20
カタン。（物が倒れる音）,0.00,0.10,0.00
ザワザワ。（木々が揺れる音）,-0.10,0.20,0.00
ピョコン。（軽く跳ねる）,0.20,0.20,0.00
テクテク。（一定のペースで歩く）,0.10,0.20,0.00
じっ…。（動かずにいる）,-0.20,0.00,-0.10
くるり。（その場で回転する）,0.10,0.20,0.00
すっ…。（静かに移動する）,-0.10,0.20,0.00
ぱくぱく。（口を開閉する）,0.10,0.10,0.00
ふむふむ。（話を聞いている）,-0.10,0.10,0.10
うーん…。（考え込む）,-0.20,0.20,-0.20
コクリ。（うなずく）,-0.10,0.00,0.10
サッ。（素早く動く）,0.10,0.30,0.10
ツンツン。（つつく）,-0.10,0.20,0.10
フワフワ。（漂う）,-0.20,-0.20,0.00
カチカチ。（時計の音）,0.00,0.10,0.00
シーン。（静寂）,-0.30,-0.40,-0.30
タッタッタッ。（駆け足）,0.10,0.40,0.10
ゴクリ。（唾をのむ）,-0.10,0.20,-0.10
プルプル。（震える）,-0.10,0.30,-0.20
クンッ。（鼻を鳴らす）,0.00,0.10,0.00
